trial_id,split,seed,exec_order,replicate,image_cache_state,cpu_psi_level,cpu_oversubscribe_ratio,ttfs_clusterip_sec,ttfs_podip_sec,ttfs_naive_clusterip_sec,ts_utc,pass,error,uncached_bytes,psi_cpu_avg10,psi_cpu_avg10_pretrial_baseline,thermal_throttle_events_during_trial,thermal_throttle_detected,target_node,cache_image
pilot-065-r3,pilot,42,65,3,cold,none,0,6.616791,7.788234,-0.123468,2026-09-09T07:48:23.486827Z,true,,3147220,0.65,0.2,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-066-r14,pilot,42,66,14,cold,high,3,2.749349,2.900410,-0.017459,2026-09-09T07:49:35.5315697Z,true,,3147220,53.33,0,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-067-r1,pilot,42,67,1,cold,threshold,2,6.784599,9.120702,-0.013917,2026-09-09T07:51:13.7661384Z,true,,3147220,50.45,2.53,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-068-r5,pilot,42,68,5,cold,threshold,2,14.148830,15.321092,0.202426,2026-09-09T07:52:52.397518Z,true,,3147220,50.18,2.08,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-069-r9,pilot,42,69,9,cold,threshold,2,6.253223,6.345409,-0.663432,2026-09-09T07:54:28.5423861Z,true,,3147220,52.33,2.24,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-070-r9,pilot,42,70,9,cold,none,0,13.457119,15.499777,-0.727656,2026-09-09T07:55:46.8511631Z,true,,3147220,1.94,2.41,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-071-r9,pilot,42,71,9,warm,high,3,2.533406,2.717672,-0.495351,2026-09-09T07:56:56.3998767Z,true,,0,51.2,0.02,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-072-r8,pilot,42,72,8,warm,threshold,2,2.673559,2.734133,-0.298478,2026-09-09T07:58:29.5421244Z,true,,0,44.27,2.32,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-073-r14,pilot,42,73,14,warm,threshold,2,2.917600,3.041908,-0.170496,2026-09-09T07:59:59.1269849Z,true,,0,44.48,2.98,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-074-r6,pilot,42,74,6,warm,high,3,3.130028,2.701782,-0.015957,2026-09-09T08:01:31.20026Z,true,,0,49.37,2.27,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-075-r5,pilot,42,75,5,cold,high,3,13.322196,14.953981,-0.803881,2026-09-09T08:03:12.0216196Z,true,,3147220,49.48,2.38,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-076-r6,pilot,42,76,6,warm,none,0,1.461332,2.039074,-0.863069,2026-09-09T08:04:28.1465596Z,true,,0,2.34,2.72,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-077-r10,pilot,42,77,10,cold,none,0,6.548999,7.068131,0.091813,2026-09-09T08:05:16.5060002Z,true,,3147220,0.47,0.21,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-078-r14,pilot,42,78,14,cold,threshold,2,6.674310,8.298149,-0.419423,2026-09-09T08:06:26.4941803Z,true,,3147220,43.22,0.19,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-079-r3,pilot,42,79,3,cold,threshold,2,6.790161,8.442563,-0.513451,2026-09-09T08:08:02.3256951Z,true,,3147220,48.9,2.88,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-080-r14,pilot,42,80,14,warm,none,0,1.805249,2.628286,-0.483389,2026-09-09T08:09:19.751053Z,true,,0,1.69,2.25,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-081-r8,pilot,42,81,8,warm,none,0,1.853557,2.670915,-0.441722,2026-09-09T08:10:07.5295493Z,true,,0,0.2,0.03,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-082-r8,pilot,42,82,8,warm,high,3,2.230395,3.832817,-0.275992,2026-09-09T08:11:10.2576016Z,true,,0,49.23,0.18,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-083-r2,pilot,42,83,2,cold,high,3,6.374077,6.982362,-0.231009,2026-09-09T08:12:50.6453926Z,true,,3147220,46.21,2.12,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-084-r9,pilot,42,84,9,warm,threshold,2,2.546589,3.097943,0.083224,2026-09-09T08:14:23.6819694Z,true,,0,45.8,2.28,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-085-r3,pilot,42,85,3,cold,high,3,14.738440,15.350023,0.127063,2026-09-09T08:16:02.8472743Z,true,,3147220,50.27,2.84,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-086-r4,pilot,42,86,4,cold,none,0,2.924851,3.501749,0.091867,2026-09-09T08:17:20.5014572Z,true,,3147220,2.1,2.38,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-087-r4,pilot,42,87,4,cold,threshold,2,6.265748,7.173865,0.464007,2026-09-09T08:18:27.6817217Z,true,,3147220,44.62,0.04,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-088-r9,pilot,42,88,9,warm,none,0,2.177484,2.358802,-0.653067,2026-09-09T08:19:42.2174605Z,true,,0,2.27,2.63,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-089-r6,pilot,42,89,6,cold,none,0,13.285091,14.464564,-0.355481,2026-09-09T08:20:30.7622804Z,true,,3147220,0.47,0.21,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-090-r4,pilot,42,90,4,cold,high,3,14.369633,14.642186,-0.375204,2026-09-09T08:21:42.4950874Z,true,,3147220,53.52,0.18,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
